Molecule,Comparison,0,1,2,3
Mol1,Mol1_0:Mol1_1:Mol1_2:Mol1_3,0.267096297427863,0.2670108466179752,0.19937473504354478,0.26651812091061705
Mol2,Mol2_0:Mol2_1:Mol2_2,0.37458958018216953,0.3742501414268243,0.25116027839100624,
Mol3,Mol3_0:Mol3_1:Mol3_2:Mol3_3,0.28501664090347456,0.22279842204969097,0.24978319448583988,0.24240174256099462
Mol4,Mol4_0:Mol4_1:Mol4_2:Mol4_3,0.23604728210140746,0.2700045979288955,0.2361563753600624,0.2577917446096347
Mol5,Mol5_0:Mol5_1:Mol5_2,0.3706984163934227,0.34907951139305116,0.2802220722135261,
Mol6,Mol6_0:Mol6_1:Mol6_2:Mol6_3,0.3076713606585259,0.25069139412989155,0.20512761328268903,0.23650963192889352
Mol7,Mol7_0:Mol7_1:Mol7_2,0.3377793358549853,0.33528510670754325,0.3269355574374715,
Mol8,Mol8_0:Mol8_1:Mol8_2,0.32709564999024865,0.332174017508094,0.3407303325016574,
Mol9,Mol9_0:Mol9_1:Mol9_2,0.38883753548817257,0.30677732470968844,0.30438513980213905,
Mol10,Mol10_0:Mol10_1:Mol10_2:Mol10_3,0.24161204086038907,0.278757308391563,0.23401469313341236,0.2456159576146357
Mol11,Mol11_0:Mol11_1:Mol11_2:Mol11_3,0.2728670568753581,0.24254524193167176,0.24365312612150714,0.24093457507146301
Mol12,Mol12_0:Mol12_1:Mol12_2:Mol12_3,0.25745980111386507,0.2537214281097035,0.23358386681906476,0.2552349039573667
Mol13,Mol13_0:Mol13_1:Mol13_2,0.34400334848173997,0.3152388894304607,0.3407577620877993,
Mol14,Mol14_0:Mol14_2:Mol14_3,0.3661297771745206,0.3328376525204978,0.30103257030498165,
Mol15,Mol15_0:Mol15_1:Mol15_2,0.35175466255719323,0.3325078750096347,0.31573746243317213,
Mol16,Mol16_0:Mol16_1:Mol16_2:Mol16_3,0.27261699457801597,0.23857487248033835,0.21622939837439475,0.272578734567251
Mol17,Mol17_0:Mol17_1:Mol17_2,0.33405418547014004,0.3277595656022934,0.3381862489275665,
Mol18,Mol18_0:Mol18_1:Mol18_2:Mol18_3,0.2590198217172194,0.27116283477808584,0.23106881344422084,0.238748530060474
Mol19,Mol19_0:Mol19_2:Mol19_3,0.35123685905133106,0.3090434829791086,0.3397196579695604,
Mol20,Mol20_0:Mol20_1:Mol20_2,0.3309886475356956,0.3309940567655499,0.33801729569875455,
Mol21,Mol21_0:Mol21_1:Mol21_2:Mol21_3,0.26999295857802685,0.2016821645064231,0.2648417399576376,0.2634831369579125
Mol22,Mol22_0:Mol22_1:Mol22_2,0.3382115684709001,0.35423374604764524,0.3075546854814547,
Mol23,Mol23_0:Mol23_1:Mol23_2,0.3230565548370211,0.32868137476488296,0.348262070398096,
Mol24,Mol24_0:Mol24_1:Mol24_2,0.3662081293229263,0.3100940333125141,0.32369783736455954,
Mol25,Mol25_0:Mol25_1:Mol25_2:Mol25_3,0.2743985044434743,0.2689454755343442,0.21986705189099845,0.23678896813118305
Mol26,Mol26_0:Mol26_1:Mol26_2,0.3437269120654906,0.33416649584548597,0.3221065920890234,
Mol27,Mol27_0:Mol27_1:Mol27_2,0.3747508293127044,0.32480123846783826,0.30044793221945737,
Mol28,Mol28_0:Mol28_1:Mol28_2,0.3911924865075039,0.3209921179979636,0.2878153954945325,
Mol29,Mol29_0:Mol29_1:Mol29_2,0.3421557886936193,0.33620109987320107,0.3216431114331797,
Mol30,Mol30_0:Mol30_1:Mol30_2,0.3502146368140746,0.29118742362074845,0.3585979395651769,
Mol31,Mol31_0:Mol31_1:Mol31_2:Mol31_3,0.2562745937169646,0.2933444874378052,0.195575792005551,0.25480512683967915
Mol32,Mol32_0:Mol32_1:Mol32_2,0.3553012117359889,0.3106281208148953,0.33407066744911584,
Mol33,Mol33_0:Mol33_1:Mol33_2,0.37478078779817425,0.36846092414882564,0.25675828805300005,
Mol34,Mol34_0:Mol34_1:Mol34_2,0.32928730071842294,0.36350281790418215,0.3072098813773948,
Mol35,Mol35_0:Mol35_1:Mol35_2,0.3188219401816042,0.3134508449662006,0.3677272148521952,
Mol36,Mol36_0:Mol36_1:Mol36_2:Mol36_3,0.2747821040895203,0.2467089129934756,0.23313322228859268,0.24537576062841135
Mol37,Mol37_0:Mol37_3:Mol37_4,0.357549145341192,0.3211857336962974,0.32126512096251075,
Mol38,Mol38_0:Mol38_1:Mol38_2,0.33620399301147824,0.32987867922041897,0.3339173277681028,
Mol39,Mol39_0:Mol39_1:Mol39_2,0.35809259122249915,0.2878822415213909,0.3540251672561099,
Mol40,Mol40_0:Mol40_1:Mol40_2,0.3809663956533659,0.2999469033693702,0.31908670097726405,
Mol41,Mol41_0:Mol41_1:Mol41_2,0.3769223990104512,0.34585298257211566,0.27722461841743307,
Mol42,Mol42_0:Mol42_1:Mol42_2,0.3415951841447814,0.35394469354863545,0.3044601223065832,
Mol43,Mol43_0:Mol43_1:Mol43_2:Mol43_3,0.2602119010509178,0.23697520093413943,0.21705735995391012,0.28575553806103265
